filename,split
157565.mp3,train
707212.mp3,train
473839.mp3,train
277500.mp3,train
482798.mp3,train
404908.mp3,train
539918.mp3,train
566090.mp3,train
753976.mp3,train
26281.mp3,train
424196.mp3,train
668674.mp3,train
264333.mp3,train
170298.mp3,train
447880.mp3,train
476228.mp3,train
352781.mp3,train
362851.mp3,train
616924.mp3,train
677254.mp3,train
81574.mp3,train
221675.mp3,train
772078.mp3,train
662101.mp3,train
135444.mp3,train
437768.mp3,train
111176.mp3,train
584011.mp3,train
518637.mp3,train
530566.mp3,train
626959.mp3,train
673956.mp3,train
567244.mp3,train
400164.mp3,train
708523.mp3,train
506232.mp3,train
754245.mp3,train
51731.mp3,train
137836.mp3,train
147534.mp3,train
349063.mp3,train
650505.mp3,train
381452.mp3,train
502997.mp3,train
542742.mp3,train
788012.mp3,train
414917.mp3,train
77015.mp3,train
650910.mp3,train
443458.mp3,train
608618.mp3,train
16042.mp3,train
161891.mp3,train
455839.mp3,train
762329.mp3,train
143650.mp3,train
583605.mp3,train
129309.mp3,train
463961.mp3,train
200260.mp3,train
490747.mp3,train
621852.mp3,train
726845.mp3,train
348757.mp3,train
169153.mp3,train
479567.mp3,train
760311.mp3,train
101847.mp3,train
54968.mp3,train
334452.mp3,train
959.mp3,train
753872.mp3,train
127440.mp3,train
577664.mp3,train
69335.mp3,train
118754.mp3,train
276887.mp3,train
531534.mp3,train
613960.mp3,train
410413.mp3,train
342189.mp3,train
367544.mp3,train
21916.mp3,train
714220.mp3,train
122064.mp3,train
263771.mp3,train
27973.mp3,train
504963.mp3,train
515011.mp3,train
679481.mp3,train
577517.mp3,train
365255.mp3,train
148297.mp3,train
521375.mp3,train
657763.mp3,train
450396.mp3,train
180041.mp3,train
380339.mp3,train
482048.mp3,train
151359.mp3,train
516689.mp3,train
121143.mp3,train
328020.mp3,train
669223.mp3,train
665122.mp3,train
423623.mp3,train
110955.mp3,train
273407.mp3,train
17074.mp3,train
326765.mp3,train
370280.mp3,train
505984.mp3,train
407331.mp3,train
243478.mp3,train
790277.mp3,train
515123.mp3,train
333223.mp3,train
182277.mp3,train
638705.mp3,train
169167.mp3,train
69186.mp3,train
67012.mp3,train
438698.mp3,train
608208.mp3,train
461170.mp3,train
75056.mp3,train
584751.mp3,train
544076.mp3,train
406375.mp3,train
9330.mp3,train
42388.mp3,train
336317.mp3,train
534550.mp3,train
558727.mp3,train
349836.mp3,train
178408.mp3,train
273409.mp3,train
575220.mp3,train
237203.mp3,train
236977.mp3,train
324140.mp3,train
678543.mp3,train
33669.mp3,train
324892.mp3,train
658867.mp3,train
450528.mp3,train
733560.mp3,train
667667.mp3,train
160157.mp3,train
664627.mp3,train
125953.mp3,train
721648.mp3,train
637850.mp3,train
30281.mp3,train
501804.mp3,train
764852.mp3,train
702408.mp3,train
628404.mp3,train
111179.mp3,train
238561.mp3,train
454126.mp3,train
450564.mp3,train
482806.mp3,train
260616.mp3,train
370013.mp3,train
670308.mp3,train
58499.mp3,train
438249.mp3,train
528737.mp3,train
449048.mp3,train
455929.mp3,train
766274.mp3,train
263458.mp3,train
240595.mp3,train
744777.mp3,train
189738.mp3,train
325295.mp3,train
640503.mp3,train
207205.mp3,train
166209.mp3,train
190902.mp3,train
249920.mp3,train
621591.mp3,train
242752.mp3,train
474114.mp3,train
94019.mp3,train
351586.mp3,train
710295.mp3,train
82469.mp3,train
637223.mp3,train
192417.mp3,train
142644.mp3,train
508987.mp3,train
707237.mp3,train
161883.mp3,train
459794.mp3,train
400383.mp3,train
422923.mp3,train
688994.mp3,train
109373.mp3,train
35045.mp3,train
251804.mp3,train
231710.mp3,train
451625.mp3,train
638777.mp3,train
378335.mp3,train
522688.mp3,train
676821.mp3,train
63832.mp3,train
84421.mp3,train
234286.mp3,train
787318.mp3,train
204348.mp3,train
207244.mp3,train
125556.mp3,train
524249.mp3,train
634976.mp3,train
480680.mp3,train
81186.mp3,train
563047.mp3,train
336600.mp3,train
577298.mp3,train
458856.mp3,train
265993.mp3,train
426049.mp3,train
570349.mp3,train
509053.mp3,train
327446.mp3,train
514447.mp3,train
121299.mp3,train
582364.mp3,train
407437.mp3,train
786171.mp3,train
267891.mp3,train
450821.mp3,train
116483.mp3,train
204900.mp3,train
475737.mp3,train
569968.mp3,train
452836.mp3,train
179776.mp3,train
140138.mp3,train
436050.mp3,train
132045.mp3,train
700991.mp3,train
